Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee
2021-03-24,20:45 (15:45),WCQ,First round,Wed,Home,D,1,1,ua Ukraine,,,63,,Hugo Lloris,4-2-2-2,Tobias Stieler
2021-03-28,19:00 (09:00),WCQ,First round,Sun,Away,W,2,0,kz Kazakhstan,,,63,,Hugo Lloris,4-2-3-1,Aliaksei Kulbakou
2021-03-31,20:45 (14:45),WCQ,First round,Wed,Away,W,1,0,ba Bosnia & Herz'na,,,56,,Hugo Lloris,4-4-2,Daniele Orsato
2021-09-01,20:45 (14:45),WCQ,First round,Wed,Home,D,1,1,ba Bosnia & Herz'na,,,54,"21,754",Hugo Lloris,4-3-3,Sandro Schärer
2021-09-04,21:45 (14:45),WCQ,First round,Sat,Away,D,1,1,ua Ukraine,,,62,"48,000",Hugo Lloris,4-4-2,Slavko Vinčič
2021-09-07,20:45 (14:45),WCQ,First round,Tue,Home,W,2,0,fi Finland,,,64,"57,057",Hugo Lloris,5-2-1-2,Deniz Aytekin
2021-11-13,20:45 (14:45),WCQ,First round,Sat,Home,W,8,0,kz Kazakhstan,,,66,"45,551",Hugo Lloris,3-4-1-2,Glenn Nyberg
2021-11-16,21:45 (14:45),WCQ,First round,Tue,Away,W,2,0,fi Finland,,,53,"31,890",Hugo Lloris,3-4-3,Marco Guida
2022-03-25,21:15 (16:15),Friendlies (M),Friendlies (M),Fri,Neutral,W,2,1,ci Côte d'Ivoire,,,,"62,510",Hugo Lloris,3-4-1-2,Vitor Ferreira Fernandes
2022-03-29,21:15 (15:15),Friendlies (M),Friendlies (M),Tue,Neutral,W,5,0,za South Africa,,,,"48,120",Raphaël Varane,3-4-1-2,Sandro Schärer
2022-06-03,20:45 (14:45),UEFA Nations League,League A,Fri,Home,L,1,2,dk Denmark,,,60,"75,833",Hugo Lloris,3-5-2,Felix Zwayer
2022-06-06,20:45 (14:45),UEFA Nations League,League A,Mon,Away,D,1,1,hr Croatia,,,51,"33,869",Presnel Kimpembe,4-2-3-1,Marco Guida
2022-06-10,20:45 (14:45),UEFA Nations League,League A,Fri,Away,D,1,1,at Austria,,,67,"44,800",Hugo Lloris,4-4-2,Anastasios Sidiropoulos
2022-06-13,20:45 (14:45),UEFA Nations League,League A,Mon,Home,L,0,1,hr Croatia,,,54,"774,100",Presnel Kimpembe,4-4-2,Orel Grinfeeld
2022-09-22,20:45 (14:45),UEFA Nations League,League A,Thu,Home,W,2,0,at Austria,,,61,"70,188",Raphaël Varane,3-4-1-2,Andreas Ekberg
2022-09-25,20:45 (14:45),UEFA Nations League,League A,Sun,Away,L,0,2,dk Denmark,,,53,"36,064",Antoine Griezmann,3-4-1-2,István Kovács
2019-03-22,21:45 (15:45),UEFA Euro Qualifying,Group stage,Fri,Away,W,4,1,md Moldova,,,67,"10,042",Hugo Lloris,4-5-1,Aleksandar Stavrev
2019-03-25,20:45 (15:45),UEFA Euro Qualifying,Group stage,Mon,Home,W,4,0,is Iceland,,,75,"64,538",Hugo Lloris,4-2-3-1,István Kovács
2019-06-08,21:45 (14:45),UEFA Euro Qualifying,Group stage,Sat,Away,L,0,2,tr Türkiye,,,63,"36,783",Hugo Lloris,4-3-3,Damir Skomina
2019-06-11,20:45 (14:45),UEFA Euro Qualifying,Group stage,Tue,Away,W,4,0,ad Andorra,,,86,"3,187",Hugo Lloris,4-2-3-1,Fran Jović
2019-09-07,20:45 (14:45),UEFA Euro Qualifying,Group stage,Sat,Home,W,4,1,al Albania,,,72,"77,655",Hugo Lloris,4-2-3-1,Jesús Gil
2019-09-10,20:45 (14:45),UEFA Euro Qualifying,Group stage,Tue,Home,W,3,0,ad Andorra,,,84,"55,383",Hugo Lloris,4-2-3-1,Mykola Balakin
2019-10-11,18:45 (14:45),UEFA Euro Qualifying,Group stage,Fri,Away,W,1,0,is Iceland,,,71,"9,719",Raphaël Varane,4-3-3,Gianluca Rocchi
2019-10-14,20:45 (14:45),UEFA Euro Qualifying,Group stage,Mon,Home,D,1,1,tr Türkiye,,,64,"72,154",Raphaël Varane,4-2-3-1,Felix Brych
2019-11-14,20:45 (14:45),UEFA Euro Qualifying,Group stage,Thu,Home,W,2,1,md Moldova,,,77,"64,367",Raphaël Varane,4-2-3-1,Gediminas Mažeika
2019-11-17,20:45 (14:45),UEFA Euro Qualifying,Group stage,Sun,Away,W,2,0,al Albania,,,57,"19,228",Raphaël Varane,3-4-1-2,Slavko Vinčič
2021-03-24,20:45 (15:45),WCQ,First round,Wed,Home,D,1,1,ua Ukraine,,,63,,Hugo Lloris,4-2-2-2,Tobias Stieler
2021-03-28,19:00 (09:00),WCQ,First round,Sun,Away,W,2,0,kz Kazakhstan,,,63,,Hugo Lloris,4-2-3-1,Aliaksei Kulbakou
2021-03-31,20:45 (14:45),WCQ,First round,Wed,Away,W,1,0,ba Bosnia & Herz'na,,,56,,Hugo Lloris,4-4-2,Daniele Orsato
2021-06-02,21:05 (15:05),Friendlies (M),Friendlies (M),Wed,Home,W,3,0,wls Wales,,,,,Hugo Lloris,4-1-4-1,Luís Godinho
2021-06-08,21:10 (15:10),Friendlies (M),Friendlies (M),Tue,Home,W,3,0,bg Bulgaria,,,,,Hugo Lloris,4-3-1-2,Anastasios Sidiropoulos
2021-06-15,21:00 (15:00),UEFA Euro,Group stage,Tue,Neutral,W,1,0,de Germany,0.3,0.9,39,"13,000",Hugo Lloris,4-3-3,Carlos del Cerro
2021-06-19,15:00 (09:00),UEFA Euro,Group stage,Sat,Neutral,D,1,1,hu Hungary,2.0,0.4,66,"55,998",Hugo Lloris,4-3-3,Michael Oliver
2021-06-23,21:00 (15:00),UEFA Euro,Group stage,Wed,Neutral,D,2,2,pt Portugal,1.9,1.9,52,"54,886",Hugo Lloris,4-2-3-1,Antonio Matéu Lahoz
2021-06-28,22:00 (15:00),UEFA Euro,Round of 16,Mon,Neutral,D,3 (4),3 (5),ch Switzerland,3.4,1.9,54,"22,642",Hugo Lloris,3-5-2,Fernando Rapallini
2021-09-01,20:45 (14:45),WCQ,First round,Wed,Home,D,1,1,ba Bosnia & Herz'na,,,54,"21,754",Hugo Lloris,4-3-3,Sandro Schärer
2021-09-04,21:45 (14:45),WCQ,First round,Sat,Away,D,1,1,ua Ukraine,,,62,"48,000",Hugo Lloris,4-4-2,Slavko Vinčič
2021-09-07,20:45 (14:45),WCQ,First round,Tue,Home,W,2,0,fi Finland,,,64,"57,057",Hugo Lloris,5-2-1-2,Deniz Aytekin
2021-10-07,20:45 (14:45),UEFA Nations League,Semi-finals,Thu,Neutral,W,3,2,be Belgium,,,49,"12,409",Hugo Lloris,3-4-3,Daniel Siebert
2021-10-10,20:45 (14:45),UEFA Nations League,Final,Sun,Neutral,W,2,1,es Spain,,,36,"31,511",Hugo Lloris,3-4-1-2,Anthony Taylor
2021-11-13,20:45 (14:45),WCQ,First round,Sat,Home,W,8,0,kz Kazakhstan,,,66,"45,551",Hugo Lloris,3-4-1-2,Glenn Nyberg
2021-11-16,21:45 (14:45),WCQ,First round,Tue,Away,W,2,0,fi Finland,,,53,"31,890",Hugo Lloris,3-4-3,Marco Guida
2020-09-05,20:45 (14:45),UEFA Nations League,League A,Sat,Away,W,1,0,se Sweden,,,49,,Hugo Lloris,3-4-1-2,Szymon Marciniak
2020-09-08,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,4,2,hr Croatia,,,43,,Hugo Lloris,3-4-1-2,Ovidiu Hațegan
2020-10-07,21:10 (15:10),Friendlies (M),Friendlies (M),Wed,Home,W,7,1,ua Ukraine,,,,,Olivier Giroud,4-4-2,Andris Treimanis
2020-10-11,20:45 (14:45),UEFA Nations League,League A,Sun,Home,D,0,0,pt Portugal,,,50,"1,000",Hugo Lloris,4-2-1-1-2,Carlos del Cerro
2020-10-14,20:45 (14:45),UEFA Nations League,League A,Wed,Away,W,2,1,hr Croatia,,,48,"6,266",Hugo Lloris,4-3-1-2,Björn Kuipers
2020-11-11,21:10 (15:10),Friendlies (M),Friendlies (M),Wed,Home,L,0,2,fi Finland,,,,,Steve Mandanda,4-2-2-2,Nikola Popov
2020-11-14,19:45 (14:45),UEFA Nations League,League A,Sat,Away,W,1,0,pt Portugal,,,50,,Hugo Lloris,4-3-3,Tobias Stieler
2020-11-17,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,4,2,se Sweden,,,52,,Hugo Lloris,4-4-2,Aliaksei Kulbakou
2021-03-24,20:45 (15:45),WCQ,First round,Wed,Home,D,1,1,ua Ukraine,,,63,,Hugo Lloris,4-2-2-2,Tobias Stieler
2021-03-28,19:00 (09:00),WCQ,First round,Sun,Away,W,2,0,kz Kazakhstan,,,63,,Hugo Lloris,4-2-3-1,Aliaksei Kulbakou
2021-03-31,20:45 (14:45),WCQ,First round,Wed,Away,W,1,0,ba Bosnia & Herz'na,,,56,,Hugo Lloris,4-4-2,Daniele Orsato
2021-06-02,21:05 (15:05),Friendlies (M),Friendlies (M),Wed,Home,W,3,0,wls Wales,,,,,Hugo Lloris,4-1-4-1,Luís Godinho
2021-06-08,21:10 (15:10),Friendlies (M),Friendlies (M),Tue,Home,W,3,0,bg Bulgaria,,,,,Hugo Lloris,4-3-1-2,Anastasios Sidiropoulos
2021-06-15,21:00 (15:00),UEFA Euro,Group stage,Tue,Neutral,W,1,0,de Germany,,,39,"13,000",Hugo Lloris,4-3-3,Carlos del Cerro
2021-06-19,15:00 (09:00),UEFA Euro,Group stage,Sat,Neutral,D,1,1,hu Hungary,,,66,"55,998",Hugo Lloris,4-3-3,Michael Oliver
2021-06-23,21:00 (15:00),UEFA Euro,Group stage,Wed,Neutral,D,2,2,pt Portugal,,,52,"54,886",Hugo Lloris,4-2-3-1,Antonio Matéu Lahoz
2021-06-28,22:00 (15:00),UEFA Euro,Round of 16,Mon,Neutral,D,3 (4),3 (5),ch Switzerland,,,54,"22,642",Hugo Lloris,3-5-2,Fernando Rapallini
2021-10-07,20:45 (14:45),UEFA Nations League,Semi-finals,Thu,Neutral,W,3,2,be Belgium,,,49,"12,409",Hugo Lloris,3-4-3,Daniel Siebert
2021-10-10,20:45 (14:45),UEFA Nations League,Final,Sun,Neutral,W,2,1,es Spain,,,36,"31,511",Hugo Lloris,3-4-1-2,Anthony Taylor
2020-09-05,20:45 (14:45),UEFA Nations League,League A,Sat,Away,W,1,0,se Sweden,,,49,,Hugo Lloris,3-4-1-2,Szymon Marciniak
2020-09-08,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,4,2,hr Croatia,,,43,,Hugo Lloris,3-4-1-2,Ovidiu Hațegan
2020-10-07,21:10 (15:10),Friendlies (M),Friendlies (M),Wed,Home,W,7,1,ua Ukraine,,,,,Olivier Giroud,4-4-2,Andris Treimanis
2020-10-11,20:45 (14:45),UEFA Nations League,League A,Sun,Home,D,0,0,pt Portugal,,,50,"1,000",Hugo Lloris,4-2-1-1-2,Carlos del Cerro
2020-10-14,20:45 (14:45),UEFA Nations League,League A,Wed,Away,W,2,1,hr Croatia,,,48,"6,266",Hugo Lloris,4-3-1-2,Björn Kuipers
2020-11-11,21:10 (15:10),Friendlies (M),Friendlies (M),Wed,Home,L,0,2,fi Finland,,,,,Steve Mandanda,4-2-2-2,Nikola Popov
2020-11-14,19:45 (14:45),UEFA Nations League,League A,Sat,Away,W,1,0,pt Portugal,,,50,,Hugo Lloris,4-3-3,Tobias Stieler
2020-11-17,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,4,2,se Sweden,,,52,,Hugo Lloris,4-4-2,Aliaksei Kulbakou
2019-03-22,21:45 (15:45),UEFA Euro Qualifying,Group stage,Fri,Away,W,4,1,md Moldova,,,67,"10,042",Hugo Lloris,4-5-1,Aleksandar Stavrev
2019-03-25,20:45 (15:45),UEFA Euro Qualifying,Group stage,Mon,Home,W,4,0,is Iceland,,,75,"64,538",Hugo Lloris,4-2-3-1,István Kovács
2019-06-02,21:00 (15:00),Friendlies (M),Friendlies (M),Sun,Home,W,2,0,bo Bolivia,,,,"35,228",Raphaël Varane,4-2-3-1,Alberto Undiano
2019-06-08,21:45 (14:45),UEFA Euro Qualifying,Group stage,Sat,Away,L,0,2,tr Türkiye,,,63,"36,783",Hugo Lloris,4-3-3,Damir Skomina
2019-06-11,20:45 (14:45),UEFA Euro Qualifying,Group stage,Tue,Away,W,4,0,ad Andorra,,,86,"3,187",Hugo Lloris,4-2-3-1,Fran Jović
2019-09-07,20:45 (14:45),UEFA Euro Qualifying,Group stage,Sat,Home,W,4,1,al Albania,,,72,"77,655",Hugo Lloris,4-2-3-1,Jesús Gil
2019-09-10,20:45 (14:45),UEFA Euro Qualifying,Group stage,Tue,Home,W,3,0,ad Andorra,,,84,"55,383",Hugo Lloris,4-2-3-1,Mykola Balakin
2019-10-11,18:45 (14:45),UEFA Euro Qualifying,Group stage,Fri,Away,W,1,0,is Iceland,,,71,"9,719",Raphaël Varane,4-3-3,Gianluca Rocchi
2019-10-14,20:45 (14:45),UEFA Euro Qualifying,Group stage,Mon,Home,D,1,1,tr Türkiye,,,64,"72,154",Raphaël Varane,4-2-3-1,Felix Brych
2019-11-14,20:45 (14:45),UEFA Euro Qualifying,Group stage,Thu,Home,W,2,1,md Moldova,,,77,"64,367",Raphaël Varane,4-2-3-1,Gediminas Mažeika
2019-11-17,20:45 (14:45),UEFA Euro Qualifying,Group stage,Sun,Away,W,2,0,al Albania,,,57,"19,228",Raphaël Varane,3-4-1-2,Slavko Vinčič
2018-07-06,17:00 (10:00),FIFA World Cup,Quarter-finals,Fri,Neutral,W,2,0,uy Uruguay,,,61,"43,319",Hugo Lloris,4-2-3-1,Néstor Pitana
2018-07-10,21:00 (14:00),FIFA World Cup,Semi-finals,Tue,Neutral,W,1,0,be Belgium,,,36,"64,286",Hugo Lloris,4-2-3-1,Andrés Cunha
2018-07-15,18:00 (11:00),FIFA World Cup,Final,Sun,Neutral,W,4,2,hr Croatia,,,35,"78,011",Hugo Lloris,4-4-2,Néstor Pitana
2018-09-06,20:45 (14:45),UEFA Nations League,League A,Thu,Away,D,0,0,de Germany,,,,"67,485",Raphaël Varane,4-4-1-1,Daniele Orsato
2018-09-09,20:45 (14:45),UEFA Nations League,League A,Sun,Home,W,2,1,nl Netherlands,,,,"76,452",Raphaël Varane,4-2-3-1,Alberto Undiano
2018-10-11,21:00 (15:00),Friendlies (M),Friendlies (M),Thu,Home,D,2,2,is Iceland,,,,"18,000",Hugo Lloris,4-2-3-1,Tiago Martins
2018-10-16,20:45 (14:45),UEFA Nations League,League A,Tue,Home,W,2,1,de Germany,,,,"75,000",Hugo Lloris,4-2-3-1,Danilo Grujić
2018-11-16,20:45 (14:45),UEFA Nations League,League A,Fri,Away,L,0,2,nl Netherlands,,,,"44,366",Hugo Lloris,4-4-1-1,Anthony Taylor
2018-11-20,21:00 (15:00),Friendlies (M),Friendlies (M),Tue,Home,W,1,0,uy Uruguay,,,,,Hugo Lloris,4-2-3-1,Damir Skomina
